"LGA","lga_name","lga_state","capacity_lga","dwellings_lga","instals_lga","density_lga","capunder10","cap10_100","capover100","countunder10","count10_100","count100"
"10050","Albury (C)","NSW","52274","28262","8024","25.5","32118","16739","3417","7213","806","5"
"10180","Armidale Regional (A)","NSW","23357","12566","3990","28.9","16333","7024","0","3630","360","0"
"10250","Ballina (A)","NSW","52368","20769","10316","46.4","39834","11732","802","9636","677","3"
"10300","Balranald (A)","NSW","607578","1235","311","20.1","1241","1572","604765","248","59","4"
"10470","Bathurst Regional (A)","NSW","37373","18460","5694","27.1","24083","12991","299","5002","691","1"
"10500","Bayside (A)","NSW","34564","33500","5404","14.3","20180","13449","935","4790","611","3"
"10550","Bega Valley (A)","NSW","30244","17858","6466","34.4","23699","6286","259","6143","322","1"
"10600","Bellingen (A)","NSW","12815","6129","2732","42.5","10254","2561","0","2606","126","0"
"10650","Berrigan (A)","NSW","188633","4382","1894","37.9","7662","5680","175291","1662","231","1"
"10750","Blacktown (C)","NSW","257084","114219","42343","33.6","174777","69981","12326","38333","3983","27"
"10800","Bland (A)","NSW","7748","2780","1059","33.2","4352","2468","928","924","134","1"
"10850","Blayney (A)","NSW","7050","3167","997","27.3","4168","2281","601","864","132","1"
"10900","Blue Mountains (C)","NSW","49196","34095","10239","28.0","37890","11157","149","9555","683","1"
"10950","Bogan (A)","NSW","104972","1243","540","37.8","1808","1164","102000","470","69","1"
"11150","Bourke (A)","NSW","4166","1285","708","48.1","2734","1432","0","618","90","0"
"11200","Brewarrina (A)","NSW","2423","672","387","49.1","1498","925","0","330","57","0"
"11250","Broken Hill (C)","NSW","25076","9330","5229","51.4","17228","7848","0","4792","437","0"
"11300","Burwood (A)","NSW","7740","7516","1279","15.0","4623","3117","0","1124","155","0"
"11350","Byron (A)","NSW","44620","15015","8005","47.4","30049","14416","155","7115","889","1"
"11400","Cabonne (A)","NSW","109665","6000","2334","34.3","9708","5029","94928","2060","272","2"
"11450","Camden (A)","NSW","91160","32200","12911","33.7","57380","31134","2646","10853","2051","7"
"11500","Campbelltown (C) (NSW)","NSW","113577","56638","19790","31.8","80256","31004","2317","18017","1769","4"
"11520","Canada Bay (A)","NSW","20225","17891","3095","15.2","12150","6612","1463","2717","376","2"
"11570","Canterbury-Bankstown (A)","NSW","112426","92478","17831","17.2","66044","40088","6294","15917","1905","9"
"11600","Carrathool (A)","NSW","125485","1274","463","28.6","1775","2553","121157","365","90","8"
"11650","Central Coast (C) (NSW)","NSW","215754","136566","37574","24.9","145915","59313","10526","34058","3500","16"
"11700","Central Darling (A)","NSW","3166","1032","529","42.1","1760","1406","0","435","94","0"
"11720","Cessnock (C)","NSW","55558","24308","8267","29.9","34373","15493","5692","7271","992","4"
"11730","Clarence Valley (A)","NSW","57329","24340","10660","40.6","42553","14318","458","9882","776","2"
"11750","Cobar (A)","NSW","5353","2163","1002","41.9","3602","1751","0","905","97","0"
"11800","Coffs Harbour (C)","NSW","66509","29547","12504","39.9","50545","14824","1140","11777","724","3"
"12000","Coolamon (A)","NSW","4188","1846","734","36.1","3073","1115","0","667","67","0"
"12150","Coonamble (A)","NSW","5510","1909","920","41.7","3335","2175","0","796","124","0"
"12160","Cootamundra-Gundagai Regional (A)","NSW","12368","5518","1965","31.7","7916","3983","469","1749","215","1"
"12350","Cowra (A)","NSW","13408","5751","2198","33.9","8517","4645","246","1948","249","1"
"12380","Cumberland (A)","NSW","73867","52934","11341","19.1","41501","26304","6062","10091","1235","15"
"12390","Dubbo Regional (A)","NSW","467247","20853","11028","47.9","37186","19444","410617","9980","1038","10"
"12700","Dungog (A)","NSW","10747","4290","1696","34.0","6981","3766","0","1459","237","0"
"12730","Edward River (A)","NSW","12020","4045","1638","34.9","7073","4947","0","1411","227","0"
"12750","Eurobodalla (A)","NSW","36815","22905","7087","29.3","28710","7680","425","6711","374","2"
"12850","Fairfield (C)","NSW","103404","54098","15405","25.2","55033","40680","7691","13638","1750","17"
"12870","Federation (A)","NSW","57652","6028","2844","43.4","12169","5363","40120","2614","227","3"
"12900","Forbes (A)","NSW","70847","4380","1428","28.2","5793","3617","61437","1234","193","1"
"12930","Georges River (A)","NSW","40291","35862","7071","17.5","26268","13144","879","6287","781","3"
"12950","Gilgandra (A)","NSW","5007","1971","940","42.7","3357","1650","0","842","98","0"
"13010","Glen Innes Severn (A)","NSW","33515","4152","1439","32.0","6041","2093","25381","1330","107","2"
"13310","Goulburn Mulwaree (A)","NSW","26865","14456","3923","23.7","15625","7901","3339","3430","490","3"
"13340","Greater Hume Shire (A)","NSW","13904","4682","2172","42.1","9528","3954","422","1969","201","2"
"13450","Griffith (C)","NSW","67908","9065","3558","30.4","13204","16872","37832","2752","795","11"
"13550","Gunnedah (A)","NSW","166292","5411","1873","30.1","7647","4364","154281","1629","242","2"
"13660","Gwydir (A)","NSW","6272","2612","1045","35.7","4257","2015","0","933","112","0"
"13800","Hawkesbury (C)","NSW","63461","24150","8483","27.9","33505","29658","298","6738","1744","1"
"13850","Hay (A)","NSW","4781","1528","508","26.6","2056","2130","595","406","100","2"
"13910","Hilltops (A)","NSW","20781","8660","3203","32.3","13347","7313","121","2795","407","1"
"14000","Hornsby (A)","NSW","67901","42083","11283","23.5","44249","21937","1715","9897","1381","5"
"14100","Hunters Hill (A)","NSW","4066","3900","672","14.9","2738","1328","0","581","91","0"
"14170","Inner West (A)","NSW","39126","45740","6709","13.5","24948","12556","1622","6186","520","3"
"14220","Inverell (A)","NSW","17197","7232","2974","37.5","12341","4856","0","2714","260","0"
"14300","Junee (A)","NSW","44102","2314","820","32.7","3302","1400","39400","758","61","1"
"14350","Kempsey (A)","NSW","28230","12751","5276","38.7","20513","6963","754","4934","339","3"
"14400","Kiama (A)","NSW","17898","9265","3236","32.2","13464","4265","169","2979","256","1"
"14500","Ku-ring-gai (A)","NSW","46241","33349","7087","17.8","28881","16880","480","5943","1142","2"
"14550","Kyogle (A)","NSW","10514","4472","2150","45.1","8233","2281","0","2016","134","0"
"14600","Lachlan (A)","NSW","9051","2795","1275","38.9","5105","3725","221","1089","185","1"
"14650","Lake Macquarie (C)","NSW","144147","84547","26392","28.5","106182","36179","1786","24101","2283","8"
"14700","Lane Cove (A)","NSW","9709","7023","1538","18.9","5973","3576","160","1329","208","1"
"14750","Leeton (A)","NSW","26952","4654","1603","28.1","6302","6128","14522","1309","292","2"
"14850","Lismore (C)","NSW","50782","18968","9794","47.9","38019","11978","785","9094","698","2"
"14870","Lithgow (C)","NSW","18059","9893","2670","24.1","10611","5022","2426","2383","284","3"
"14900","Liverpool (C)","NSW","136126","63274","20676","29.0","84328","41994","9804","18348","2314","14"
"14920","Liverpool Plains (A)","NSW","6153","3662","1067","26.5","4222","1931","0","971","96","0"
"14950","Lockhart (A)","NSW","3692","1439","640","40.6","2777","915","0","585","55","0"
"15050","Maitland (C)","NSW","83114","34430","12093","30.5","50370","28029","4715","10493","1595","5"
"15240","Mid-Coast (A)","NSW","89033","44577","17355","36.5","67829","20742","462","16251","1102","2"
"15270","Mid-Western Regional (A)","NSW","136763","11895","4076","30.1","17375","8193","111195","3584","490","2"
"15300","Moree Plains (A)","NSW","87855","5444","3169","51.0","10637","7462","69756","2778","388","3"
"15350","Mosman (A)","NSW","6322","6085","937","12.8","3760","2562","0","780","157","0"
"15520","Murray River (A)","NSW","17417","5877","2335","33.2","9522","7698","197","1953","381","1"
"15560","Murrumbidgee (A)","NSW","527337","1851","732","34.1","3001","2266","522070","631","97","4"
"15650","Muswellbrook (A)","NSW","13400","8250","1934","20.1","8247","4953","200","1654","279","1"
"15700","Nambucca Valley (A)","NSW","18509","9250","3981","40.9","15177","3332","0","3786","195","0"
"15750","Narrabri (A)","NSW","15654","5865","3467","54.5","11158","4496","0","3200","267","0"
"15800","Narrandera (A)","NSW","7401","2705","961","31.1","3896","2294","1211","841","119","1"
"15850","Narromine (A)","NSW","19559","2714","1493","48.7","5183","2985","11391","1320","171","2"
"15900","Newcastle (C)","NSW","92421","62228","15579","22.9","60386","24663","7372","14264","1310","5"
"15950","North Sydney (A)","NSW","7443","9500","1172","11.0","4491","2542","410","1044","126","2"
"15990","Northern Beaches (A)","NSW","90261","68530","15214","19.6","60208","29491","562","13440","1771","3"
"16100","Oberon (A)","NSW","6345","2518","755","26.5","3022","1198","2125","668","85","2"
"16150","Orange (C)","NSW","38877","18124","5539","26.5","23381","14149","1347","4803","733","3"
"16200","Parkes (A)","NSW","184625","6199","2639","38.0","10840","4680","169105","2357","274","8"
"16260","Parramatta (C)","NSW","75461","56614","12074","18.9","45688","25822","3951","10725","1334","15"
"16350","Penrith (C)","NSW","147802","74826","22839","27.1","94922","46553","6327","20253","2575","11"
"16380","Port Macquarie-Hastings (A)","NSW","81380","34347","15926","43.7","62830","17518","1032","15014","909","3"
"16400","Port Stephens (A)","NSW","64500","34496","11758","31.2","46240","16529","1731","10751","1002","5"
"16490","Queanbeyan-Palerang Regional (A)","NSW","53138","22687","7817","29.5","33796","18702","640","6688","1126","3"
"16550","Randwick (C)","NSW","26367","24656","4416","16.0","17831","7772","764","3952","459","5"
"16610","Richmond Valley (A)","NSW","26469","9919","5076","47.9","20403","5854","212","4749","326","1"
"16700","Ryde (C)","NSW","35172","30588","5669","16.5","21735","12019","1418","5052","611","6"
"16900","Shellharbour (C)","NSW","50968","27883","8820","29.2","38085","11036","1847","8148","669","3"
"16950","Shoalhaven (C)","NSW","99359","56451","17236","28.1","70952","23255","5152","15868","1363","5"
"17000","Singleton (A)","NSW","26590","9230","3491","31.2","14276","10143","2171","2882","606","3"
"17040","Snowy Monaro Regional (A)","NSW","17895","10517","2984","25.3","12104","5791","0","2656","328","0"
"17080","Snowy Valleys (A)","NSW","14524","6750","2550","34.6","10488","4036","0","2338","212","0"
"17100","Strathfield (A)","NSW","13960","6403","1296","16.8","4705","4637","4618","1072","218","6"
"17150","Sutherland Shire (A)","NSW","91399","65932","15173","20.3","61905","27053","2441","13363","1803","7"
"17200","Sydney (C)","NSW","22393","26223","2109","6.7","6788","11823","3782","1751","347","11"
"17310","Tamworth Regional (A)","NSW","52997","28767","8566","26.9","35454","15846","1697","7725","834","7"
"17350","Temora (A)","NSW","117155","2764","945","29.9","4009","2242","110904","827","116","2"
"17400","Tenterfield (A)","NSW","6506","3735","1325","33.4","5212","1294","0","1247","78","0"
"17420","The Hills Shire (A)","NSW","126787","52101","20007","32.5","79761","45248","1778","16921","3081","5"
"17550","Tweed (A)","NSW","109703","38931","21307","50.1","81419","27684","600","19509","1796","2"
"17620","Upper Hunter Shire (A)","NSW","13282","6219","1951","26.7","8121","5161","0","1660","291","0"
"17640","Upper Lachlan Shire (A)","NSW","21152","4318","1355","28.0","5582","2264","13306","1209","145","1"
"17650","Uralla (A)","NSW","5408","2882","960","30.2","3755","1653","0","871","89","0"
"17750","Wagga Wagga (C)","NSW","212568","24817","8232","30.3","33949","14747","163872","7507","719","6"
"17850","Walcha (A)","NSW","2150","1543","382","22.3","1448","702","0","345","37","0"
"17900","Walgett (A)","NSW","7804","3367","1406","37.0","4453","3351","0","1246","160","0"
"17950","Warren (A)","NSW","135646","1237","667","46.5","2381","1418","131847","575","91","1"
"18020","Warrumbungle Shire (A)","NSW","11718","4634","2444","48.5","8379","3339","0","2249","195","0"
"18050","Waverley (A)","NSW","10800","10881","1772","14.4","7167","3633","0","1565","207","0"
