year,month,installations_in_month,<2.5kW,2.5<4.5kW,4.5<6.5kW,6.5<9.5kW,9.5<14kW,14<25kW,25<=100kW,average installation size
2010,1,8400,7881,401,88,10,16,0,2,1.4
2010,2,10295,9387,718,133,23,29,5,0,1.5
2010,3,13228,11921,1006,202,34,51,7,7,1.6
2010,4,13413,11838,1260,224,30,53,7,1,1.7
2010,5,16688,14743,1562,243,48,82,4,5,1.7
2010,6,18160,15577,1941,395,64,166,7,10,1.9
2010,7,16808,13667,2383,503,78,161,7,9,2.1
2010,8,17390,13902,2625,565,96,181,10,11,2.1
2010,9,19022,14993,3043,651,93,216,14,12,2.2
2010,10,21171,16737,3376,723,121,195,9,9,2.2
2010,11,24984,19523,4206,874,99,231,26,25,2.2
2010,12,18654,14366,3335,631,89,207,14,12,2.2
2011,1,25466,19059,4870,1024,122,360,15,16,2.3
2011,2,28850,21869,5372,1088,153,329,25,14,2.2
2011,3,35529,26644,6766,1439,139,503,22,15,2.3
2011,4,33180,24638,6480,1352,155,507,31,17,2.3
2011,5,50291,36479,10810,2189,196,533,38,45,2.3
2011,6,68868,47054,16742,4034,302,538,116,82,2.4
2011,7,22220,14576,5994,1354,82,156,38,20,2.4
2011,8,22127,13131,6999,1732,73,141,26,25,2.6
2011,9,24877,13421,8508,2621,114,144,31,36,2.7
2011,10,16669,9715,5150,1493,109,147,25,30,2.6
2011,11,18080,10370,5474,1828,121,235,20,32,2.7
2011,12,14597,8290,4383,1642,113,103,33,32,2.7
2012,1,13018,7622,3788,1403,73,97,13,22,2.7
2012,2,19567,11800,5422,2058,110,122,23,27,2.6
2012,3,23633,13987,6527,2779,146,144,26,23,2.6
2012,4,26554,15332,7515,3380,127,136,43,21,2.7
2012,5,43479,23135,13479,6246,296,215,60,47,2.8
2012,6,59214,27471,20015,10606,476,492,102,51,3.0
2012,7,25778,11366,9247,4754,163,147,70,31,3.1
2012,8,27994,11366,10119,6021,250,160,48,29,3.2
2012,9,28422,10089,10560,7103,298,227,100,45,3.4
2012,10,22610,9142,8002,4988,227,148,68,34,3.2
2012,11,22508,8890,7983,5107,249,170,60,47,3.3
2012,12,30564,10448,11360,7740,475,373,104,63,3.5
2013,1,15005,5518,5491,3514,186,187,64,44,3.4
2013,2,15489,5152,5748,3982,239,218,97,53,3.6
2013,3,16143,5011,5868,4600,277,215,96,75,3.7
2013,4,16741,4991,5869,5225,245,275,69,67,3.8
2013,5,20144,5335,6774,7223,326,273,122,91,3.9
2013,6,22224,5026,7468,8780,366,339,131,113,4.1
2013,7,16766,4867,6100,5003,291,303,112,89,3.8
2013,8,14963,4014,5488,4573,359,335,103,89,4.0
2013,9,14891,3551,5488,4854,373,407,122,94,4.2
2013,10,17317,3919,6552,5709,462,423,130,121,4.2
2013,11,16968,4070,5930,5821,450,455,130,110,4.2
2013,12,13756,3028,4839,4807,390,384,150,155,4.5
2014,1,13770,3130,4813,4706,397,423,152,147,4.4
2014,2,14118,3419,5193,4822,255,240,94,93,4.1
2014,3,14265,3027,5500,4988,249,245,114,141,4.4
2014,4,13501,2766,5156,4943,223,226,89,95,4.2
2014,5,16192,3186,6155,5937,299,312,136,161,4.5
2014,6,14418,2901,5306,5395,271,243,136,164,4.5
2014,7,16264,3303,6192,5836,306,280,162,182,4.4
2014,8,14780,3059,5589,5178,328,291,155,179,4.5
2014,9,16579,3555,6140,5872,382,305,155,168,4.4
2014,10,16813,3312,6489,5935,373,336,193,173,4.5
2014,11,14159,2542,5472,5158,371,289,128,195,4.6
2014,12,13533,2187,5355,4946,384,292,169,199,4.8
2015,1,11467,2072,4474,4175,268,212,128,136,4.6
2015,2,12877,2239,4767,4892,350,290,165,173,4.8
2015,3,13169,2295,4853,5019,391,275,168,164,4.8
2015,4,11074,1909,4066,4241,326,252,157,121,4.7
2015,5,11630,2013,4072,4545,381,288,155,173,4.9
2015,6,11787,1853,4046,4817,388,295,205,183,5.1
2015,7,13111,2011,4306,5649,434,341,190,178,5.0
2015,8,11625,1574,3954,5116,380,272,151,174,5.1
2015,9,11780,1641,3948,5162,401,283,188,154,5.1
2015,10,11485,1586,3809,5072,401,276,146,191,5.2
2015,11,11243,1502,3866,4798,417,303,171,179,5.2
2015,12,10306,1272,3443,4508,382,332,178,182,5.5
2016,1,8216,1114,2663,3705,326,206,102,97,5.1
2016,2,10968,1512,3554,4897,423,268,148,163,5.2
2016,3,10653,1439,3512,4723,418,261,137,156,5.2
2016,4,10292,1397,3353,4438,484,292,154,171,5.4
2016,5,10694,1357,3429,4710,542,292,175,186,5.5
2016,6,10073,1240,3191,4398,498,333,204,201,5.6
2016,7,10138,1296,3232,4373,517,346,181,188,5.6
