'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,7,3,0,0,0,0,0,0,0,0,0
2007-02,12,3,0,0,0,0,0,0,0,0,0
2007-03,6,3,0,0,0,0,0,0,0,0,0
2007-04,12,0,0,0,0,0,0,0,0,0,0
2007-05,1,0,0,0,0,0,0,0,0,0,0
2007-06,4,17,5,0,0,0,0,0,0,0,0
2007-07,36,14,5,0,0,0,0,0,0,0,0
2007-08,37,6,0,0,0,0,0,0,0,0,0
2007-09,80,10,0,0,0,0,0,0,0,0,0
2007-10,105,19,16,0,0,20,0,0,0,0,0
2007-11,81,20,16,0,0,0,0,0,0,0,0
2007-12,99,18,17,17,12,0,0,0,0,0,0
2008-01,69,23,5,0,0,0,0,0,0,0,0
2008-02,92,25,5,0,0,0,0,0,0,0,0
2008-03,90,23,5,0,0,0,0,0,0,0,0
2008-04,166,44,20,0,0,0,0,0,0,0,0
2008-05,188,45,6,8,11,0,0,0,0,0,0
2008-06,232,47,0,0,11,0,0,0,0,0,0
2008-07,225,41,37,9,10,0,0,0,0,0,0
2008-08,227,43,12,8,0,0,0,0,0,0,0
2008-09,340,28,0,23,0,0,0,0,0,0,0
2008-10,539,98,27,0,0,0,0,0,0,0,0
2008-11,499,80,12,0,0,0,0,0,0,0,0
2008-12,573,113,16,9,12,20,0,0,0,0,0
2009-01,559,82,26,8,0,0,0,0,0,0,0
2009-02,778,70,22,0,0,0,0,0,0,0,0
2009-03,1091,130,26,9,0,0,0,0,0,0,0
2009-04,1007,101,25,0,0,0,0,0,0,0,0
2009-05,1120,111,22,25,10,14,26,0,0,0,0
2009-06,1703,104,16,0,10,18,0,0,0,0,0
2009-07,1996,175,34,0,0,0,0,0,0,0,0
2009-08,1701,294,58,9,30,0,34,0,0,0,0
2009-09,1874,374,26,26,90,0,58,0,0,0,0
2009-10,2547,413,54,23,10,35,0,0,0,0,0
2009-11,3226,670,65,0,36,23,0,0,0,0,0
2009-12,2644,654,112,23,12,0,0,0,0,0,0
2010-01,2551,416,97,24,34,0,0,0,0,0,0
2010-02,3053,771,89,56,44,24,0,0,0,0,0
2010-03,3773,1178,173,58,55,48,63,0,0,0,0
2010-04,3939,956,214,53,40,101,0,0,0,0,0
2010-05,4752,1249,196,53,80,30,29,0,0,0,0
2010-06,6002,1402,342,54,145,0,129,0,0,0,0
2010-07,5682,1905,378,96,133,48,149,0,0,0,0
2010-08,6239,2197,426,105,95,30,161,55,0,0,0
2010-09,6057,2137,548,147,162,86,158,53,0,0,0
2010-10,6740,2384,533,128,130,52,98,70,0,0,0
2010-11,8330,3179,733,95,148,240,208,507,0,0,0
2010-12,5947,2645,501,126,156,72,91,0,0,0,0
2011-01,5816,3282,911,184,244,0,59,53,0,0,0
2011-02,8253,4043,851,141,85,65,64,74,0,0,0
2011-03,11162,5310,1232,132,321,35,134,0,0,0,0
2011-04,10611,5579,1254,136,279,155,90,0,0,0,0
2011-05,17549,10586,2916,415,507,213,464,141,0,0,0
2011-06,23149,17563,5512,807,1091,503,759,0,0,0,0
2011-07,7465,5447,1625,213,387,234,391,55,0,0,0
2011-08,5580,5037,1780,174,305,168,453,0,0,0,0
2011-09,4528,5186,1867,151,207,199,915,56,0,0,0
2011-10,4515,4724,2200,95,236,133,425,0,0,0,0
2011-11,5025,5684,2963,88,141,105,603,0,0,0,0
2011-12,4014,5211,3224,137,119,145,411,0,0,0,0
2012-01,3840,4760,3139,46,207,46,271,80,0,0,0
2012-02,6420,7673,5259,79,127,79,608,67,1800,0,0
2012-03,7085,9311,7434,92,257,139,506,0,216,0,0
2012-04,7530,10780,10022,133,202,200,482,60,0,0,0
2012-05,10823,17773,17097,353,289,176,896,90,0,0,0
2012-06,12205,24649,28306,699,505,199,381,0,348,0,0
2012-07,6712,12651,13403,176,205,124,367,0,0,0,0
2012-08,7634,16398,18761,232,267,116,366,0,0,0,0
2012-09,6388,13548,16908,187,280,229,299,0,0,0,0
2012-10,5973,11582,15636,195,195,192,374,51,265,0,0
2012-11,5274,10108,14755,285,215,124,245,0,306,0,0
2012-12,4497,10907,19710,467,389,190,634,0,0,0,0
2013-01,2667,5661,8524,134,156,207,225,53,0,0,0
2013-02,2309,4819,9146,257,210,194,136,178,0,0,0
2013-03,2639,5922,12091,265,233,184,216,0,242,0,0
2013-04,2893,6842,14745,247,339,184,323,180,0,0,0
2013-05,3333,8666,23184,358,446,411,587,55,0,0,0
2013-06,4095,12290,33213,604,677,723,1336,274,0,0,0
2013-07,3193,6180,10736,153,484,386,275,0,403,0,0
2013-08,2232,4233,7643,224,373,271,251,99,0,0,0
2013-09,1689,3786,7635,191,324,396,568,159,0,0,0
2013-10,1736,3997,8307,173,260,294,533,79,200,0,0
2013-11,1830,3930,8915,245,190,301,377,159,264,0,0
2013-12,1284,3143,7906,251,342,396,438,100,100,0,0
2014-01,1469,3762,9052,196,286,204,373,233,100,0,0
2014-02,1688,4786,11776,469,240,307,396,160,100,0,0
2014-03,1501,5181,12644,415,351,615,441,534,0,0,0
2014-04,1374,4943,13025,553,298,377,289,158,100,0,0
2014-05,1679,5618,14565,545,553,504,826,404,400,0,0
2014-06,1584,5104,13937,498,493,559,575,672,100,0,0
2014-07,1871,5833,14364,397,377,643,893,521,0,0,0
2014-08,1596,4243,10690,441,565,501,999,813,0,0,0
2014-09,1516,4283,12173,545,363,554,747,349,100,0,0
2014-10,1428,4430,11375,569,544,593,438,508,100,0,0
2014-11,1046,3737,9637,486,404,464,807,535,100,0,0
2014-12,892,3730,9711,660,400,518,894,631,500,0,0
2015-01,835,2981,8257,469,318,435,609,613,100,0,0
2015-02,957,3166,9496,541,339,436,488,332,100,0,0
2015-03,1100,3520,10582,644,373,417,601,411,200,0,0
2015-04,731,2993,8923,605,333,603,509,126,100,0,0
2015-05,887,2826,9205,584,268,476,666,487,2641,0,0
2015-06,811,2757,9832,609,446,659,722,364,100,0,0
2015-07,915,3026,12470,932,592,616,709,627,200,0,0
2015-08,560,2700,9465,729,567,587,963,412,0,0,0
2015-09,662,2806,10343,799,435,673,467,607,488,0,0
2015-10,570,2592,9472,713,395,463,806,592,0,0,0
2015-11,516,2476,8681,723,624,547,808,676,3868,0,0
2015-12,379,2297,7729,669,818,666,765,1319,0,0,0
2016-01,372,1818,6513,709,399,478,163,695,244,0,0
2016-02,464,2333,8238,818,648,609,738,648,100,0,0
2016-03,491,2395,7928,799,478,454,614,549,200,0,0
2016-04,473,2034,7844,821,618,515,399,1086,0,0,0
2016-05,459,1890,8258,942,719,1025,946,440,100,0,0
2016-06,461,2173,7858,961,1007,1026,1013,572,1209,0,0
2016-07,508,1990,7826,950,1015,903,1108,753,862,0,0
2016-08,520,2266,9231,1100,852,1203,995,1297,0,0,0
2016-09,432,2274,9222,1216,1052,1116,1119,1049,0,0,0
2016-10,428,2063,9386,1248,883,885,1260,1447,198,0,0
2016-11,444,2728,11812,1778,1036,1288,1162,1344,0,0,0
2016-12,371,2509,13525,2005,1487,1640,1765,3998,0,0,0
2017-01,324,1995,9272,1261,721,556,509,340,0,0,0
2017-02,405,2607,12352,1421,1027,791,813,324,0,0,0
2017-03,403,2626,12825,1585,1382,1178,1071,1161,0,25000,0
2017-04,366,2021,12120,1709,969,925,1179,1037,567,0,0
2017-05,490,2510,13821,2190,1514,1515,1690,1770,1081,0,0
2017-06,458,2335,13522,1969,1618,1659,2018,1532,477,0,0
2017-07,471,2481,14415,2093,1828,1406,1343,2046,699,15000,0
2017-08,522,2261,14695,2840,2261,1407,2831,1495,1768,0,0
2017-09,411,2072,13428,2686,2221,1637,2273,2655,1693,0,0
2017-10,340,1948,12622,3282,2141,1572,1888,2492,726,0,0
2017-11,430,2246,16434,4972,2880,2170,2720,3032,7556,13054,0
2017-12,356,2102,14662,5189,2926,2350,2958,5461,847,10898,63168
2018-01,279,1775,11936,4107,2261,1033,1457,1047,765,20162,0
2018-02,325,2260,12942,4618,2842,1292,1949,1520,197,0,0
2018-03,387,2250,13031,6161,2913,1886,2137,1586,298,17344,279048
2018-04,341,2105,11887,5295,2636,1961,1815,1260,1003,0,0
2018-05,411,2300,12762,7108,3853,2117,2525,2304,1319,0,0
2018-06,311,1613,11505,8454,3509,2269,3205,3325,2866,0,0
2018-07,311,1692,11756,9807,4082,2184,2374,1251,1672,0,275371
2018-08,312,1552,11569,11624,4396,2497,3211,2181,666,0,207051
2018-09,274,1484,9497,12533,4133,2039,2388,1212,3257,0,330620
2018-10,350,1464,9012,14244,4981,2291,2046,2269,1560,19924,0
2018-11,361,1346,10691,18586,6052,2763,2762,3240,4754,0,95545
2018-12,277,1134,7267,16174,6161,3236,4166,5453,7744,0,75092
2019-01,199,1007,6371,16409,3862,1413,1208,1008,4171,29694,84749
2019-02,392,1206,7527,17882,5966,1761,1570,1451,4764,0,126202
2019-03,266,1348,7581,19704,6020,2046,2184,1897,351,0,0
2019-04,255,1073,6803,18363,6059,1943,2502,1617,855,0,70099
