'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-01,47,9,0,0,0,0,0,0,0,0,0
2007-02,62,6,0,0,0,0,0,0,0,0,0
2007-03,76,11,0,0,0,0,0,0,0,0,0
2007-04,36,13,0,7,0,0,0,0,0,0,0
2007-05,20,0,6,0,0,0,0,0,0,0,0
2007-06,73,18,0,0,0,0,0,0,0,0,0
2007-07,130,19,0,0,0,0,0,0,0,0,0
2007-08,149,53,0,0,0,0,0,0,0,0,0
2007-09,131,34,0,0,0,0,0,0,0,0,0
2007-10,172,55,5,0,0,0,0,0,0,0,0
2007-11,196,41,16,0,0,0,0,0,0,0,0
2007-12,221,60,5,0,0,0,0,0,0,0,0
2008-01,204,56,0,0,0,0,0,0,0,0,0
2008-02,240,38,0,15,0,0,0,0,0,0,0
2008-03,225,29,10,0,0,0,0,0,0,0,0
2008-04,263,44,0,0,0,0,0,0,0,0,0
2008-05,329,45,0,0,0,0,0,0,0,0,0
2008-06,295,35,0,0,0,0,0,0,0,0,0
2008-07,375,57,0,0,0,0,0,0,0,0,0
2008-08,438,39,0,0,0,0,0,0,0,0,0
2008-09,373,50,5,0,0,0,0,0,0,0,0
2008-10,434,82,16,0,0,0,30,0,0,0,0
2008-11,508,78,0,0,0,0,0,0,0,0,0
2008-12,462,57,27,0,0,0,0,0,0,0,0
2009-01,507,36,5,0,0,0,0,0,0,0,0
2009-02,637,88,26,9,0,0,0,0,0,0,0
2009-03,764,88,30,0,0,0,0,0,0,0,0
2009-04,727,102,10,21,0,0,0,0,0,0,0
2009-05,803,117,31,0,0,0,0,0,0,0,0
2009-06,621,98,27,0,0,15,0,0,0,0,0
2009-07,709,107,40,0,10,0,0,0,0,0,0
2009-08,887,104,20,0,21,0,0,0,0,0,0
2009-09,830,147,68,0,20,0,71,0,0,0,0
2009-10,1301,187,66,0,21,0,0,0,1000,0,0
2009-11,1386,179,21,7,22,22,0,0,0,0,0
2009-12,1104,176,53,15,13,0,50,0,0,0,0
2010-01,928,215,78,0,0,0,30,0,1114,0,0
2010-02,1067,343,48,8,22,0,0,0,0,0,0
2010-03,1235,317,63,16,49,0,59,0,0,0,0
2010-04,1411,501,103,24,11,0,29,0,0,0,0
2010-05,1751,518,99,29,30,0,30,99,0,0,0
2010-06,1589,602,144,22,61,17,30,0,0,0,0
2010-07,1317,785,226,14,51,24,0,0,0,0,0
2010-08,1589,778,209,65,61,58,32,0,0,0,0
2010-09,2016,1012,276,47,161,0,0,0,0,0,0
2010-10,2124,1047,235,39,60,0,28,0,0,0,0
2010-11,2821,1391,426,82,132,15,0,0,0,0,0
