'Month','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
2007-04,2,0,0,0,0,0,0,0,0,0,0
2007-06,1,0,0,0,0,0,0,0,0,0,0
2007-07,5,0,0,0,0,0,0,0,0,0,0
2007-08,2,0,0,0,0,0,0,0,0,0,0
2007-09,5,0,0,0,0,0,0,0,0,0,0
2007-10,1,0,0,0,0,0,0,0,0,0,0
2007-11,10,3,0,0,0,0,0,0,0,0,0
2007-12,4,6,0,0,0,0,0,0,0,0,0
2008-01,10,3,0,0,0,0,0,0,0,0,0
2008-02,10,3,0,0,0,0,0,0,0,0,0
2008-03,5,0,0,0,0,0,0,0,0,0,0
2008-04,18,0,0,0,0,0,0,0,0,0,0
2008-05,16,3,0,0,0,0,0,0,0,0,0
2008-06,6,0,0,0,0,0,0,0,0,0,0
2008-07,25,0,0,0,0,0,0,0,0,0,0
2008-08,7,6,0,0,0,0,0,0,0,0,0
2008-09,13,18,5,0,0,0,0,0,0,0,0
2008-10,13,0,0,0,0,0,0,0,0,0,0
2008-11,27,6,0,0,0,0,0,0,0,0,0
2008-12,31,12,0,0,0,0,0,0,0,0,0
2009-01,35,3,0,0,0,0,0,0,0,0,0
2009-02,22,3,0,0,0,0,0,0,0,0,0
2009-03,41,13,5,0,10,0,0,0,0,0,0
2009-04,33,4,0,0,0,0,0,0,0,0,0
2009-05,38,9,0,0,0,0,0,0,0,0,0
2009-06,37,13,0,0,0,0,0,0,0,0,0
2009-07,62,6,0,0,0,0,0,0,0,0,0
2009-08,187,15,5,0,0,0,0,0,0,0,0
2009-09,274,10,11,0,0,0,0,0,0,0,0
2009-10,319,27,0,0,0,0,0,0,0,0,0
2009-11,265,28,0,0,0,0,0,0,0,0,0
2009-12,207,19,6,0,0,0,0,0,0,0,0
2010-01,205,37,0,0,0,0,0,0,0,0,0
2010-02,198,16,18,0,0,0,0,0,0,0,0
2010-03,274,42,0,0,0,0,0,0,0,0,0
2010-04,301,23,10,15,0,0,0,0,0,0,0
2010-05,274,19,16,0,0,0,0,0,0,0,0
2010-06,318,22,0,0,0,0,0,0,0,0,0
2010-07,108,44,22,0,0,0,0,0,0,0,0
2010-08,51,50,10,16,11,0,0,0,0,0,0
2010-09,93,74,26,0,21,0,0,0,0,0,0
2010-10,124,50,27,0,10,0,0,0,0,0,0
2010-11,143,71,28,7,12,44,25,0,0,0,0
2010-12,91,61,26,7,0,0,0,0,0,0,0
2011-01,137,58,25,0,0,14,0,0,0,0,0
2011-02,202,108,51,7,23,39,0,0,0,0,0
2011-03,223,94,63,7,0,0,0,0,0,0,0
2011-04,241,108,26,9,13,21,0,0,0,0,0
2011-05,444,199,69,41,67,53,0,0,0,0,0
2011-06,700,375,180,23,70,24,0,0,0,0,0
2011-07,235,84,32,0,0,14,0,0,0,0,0
2011-08,191,97,16,7,11,0,0,0,0,0,0
2011-09,154,110,57,9,31,0,0,0,0,0,0
2011-10,182,110,72,8,0,14,0,0,0,0,0
2011-11,171,142,90,23,22,0,27,0,0,0,0
2011-12,102,84,61,14,43,35,0,0,0,0,0
2012-01,134,142,55,25,10,0,0,0,0,0,0
2012-02,322,227,145,15,51,0,0,0,0,0,0
2012-03,360,306,143,30,60,0,0,0,0,0,0
2012-04,553,264,135,30,45,15,0,0,0,0,0
2012-05,735,621,382,78,94,41,37,0,0,0,0
2012-06,798,1055,854,232,269,21,37,0,0,0,0
2012-07,446,589,395,93,103,23,0,0,0,0,0
2012-08,458,654,462,114,86,0,0,100,0,0,0
2012-09,364,548,545,62,103,0,0,0,0,0,0
2012-10,323,639,731,91,41,53,0,0,0,0,0
2012-11,375,627,720,102,176,37,33,0,0,0,0
2012-12,354,861,1223,192,195,45,28,0,0,0,0
2013-01,332,658,655,120,50,35,0,0,0,0,0
2013-02,420,760,929,201,144,35,0,50,0,0,0
2013-03,476,782,987,150,149,93,0,63,0,0,0
2013-04,330,588,933,163,224,30,0,55,0,0,0
2013-05,246,606,925,176,161,104,141,138,0,0,0
2013-06,170,506,789,136,123,56,0,55,0,0,0
2013-07,165,604,871,185,101,55,0,63,0,0,0
2013-08,119,492,791,153,132,15,30,100,0,0,0
2013-09,159,572,1227,178,301,33,0,0,100,0,0
2013-10,265,1300,1991,341,250,37,0,0,0,0,0
2013-11,371,977,2170,286,420,40,0,0,0,0,0
2013-12,194,741,1357,344,268,90,31,0,0,0,0
2014-01,128,585,1081,242,361,34,35,62,0,0,0
2014-02,169,624,1092,177,351,97,0,0,0,0,0
2014-03,106,417,792,176,290,40,42,0,0,0,0
2014-04,107,455,573,98,131,40,36,0,0,0,0
2014-05,109,503,593,70,170,52,36,0,0,0,0
2014-06,121,382,721,72,186,20,29,0,0,0,0
2014-07,117,414,553,122,130,57,78,100,0,0,0
2014-08,123,523,1021,204,340,0,0,53,0,0,0
2014-09,143,341,361,101,80,15,0,0,0,0,0
2014-10,81,306,247,48,50,90,0,0,0,0,0
2014-11,74,278,237,39,113,20,57,0,100,0,0
2014-12,66,199,303,38,40,94,102,100,0,0,0
2015-01,35,177,227,16,32,100,0,50,0,0,0
2015-02,65,228,399,22,33,15,116,75,0,0,0
2015-03,49,195,326,24,73,62,0,112,0,0,0
2015-04,40,202,205,31,46,45,38,0,0,0,0
2015-05,62,164,233,26,10,30,0,100,0,0,0
2015-06,57,185,301,70,40,33,71,0,0,0,0
2015-07,74,209,213,7,84,55,90,77,0,0,0
2015-08,41,123,359,26,54,20,70,50,0,0,0
2015-09,96,245,282,14,20,35,32,0,0,0,0
2015-10,54,282,265,55,0,81,37,0,219,0,0
2015-11,54,344,323,52,60,72,63,94,0,0,0
2015-12,89,314,381,31,31,15,126,0,100,0,0
2016-01,57,213,262,23,31,0,30,100,0,0,0
2016-02,105,307,318,15,50,36,104,0,0,0,0
2016-03,79,298,402,25,53,56,31,0,0,0,0
2016-04,63,283,303,32,41,15,61,0,0,0,0
2016-05,97,296,348,38,51,0,50,100,0,0,0
2016-06,61,251,385,31,30,0,127,151,0,0,0
2016-07,74,287,363,24,41,62,80,0,0,0,0
2016-08,96,304,399,23,82,38,61,59,0,0,0
2016-09,69,302,318,15,71,64,0,165,0,0,0
2016-10,40,182,361,48,20,54,60,0,0,0,0
2016-11,81,303,406,7,70,72,102,125,0,0,0
2016-12,64,234,598,92,125,96,133,200,0,0,0
2017-01,58,166,352,31,35,0,35,0,0,0,0
2017-02,30,192,478,39,87,14,169,110,0,0,0
2017-03,43,155,459,22,61,85,138,99,0,0,0
2017-04,31,166,235,59,62,56,35,100,0,0,0
2017-05,52,197,450,72,98,94,47,77,0,0,0
2017-06,32,169,506,62,115,66,165,137,0,0,0
2017-07,35,218,639,53,127,98,70,56,0,0,0
2017-08,40,203,684,92,90,59,26,175,0,0,0
2017-09,23,219,549,107,101,87,66,75,0,0,0
2017-10,42,218,562,117,167,58,33,0,265,0,0
2017-11,50,223,655,192,117,95,68,256,2000,0,0
2017-12,24,159,565,104,125,63,312,556,0,0,0
2018-01,21,139,393,78,105,32,50,0,0,0,0
2018-02,35,196,547,99,71,152,172,92,0,0,0
2018-03,16,167,710,157,118,157,190,304,0,0,0
2018-04,43,209,568,135,92,50,177,100,0,0,0
2018-05,48,210,551,122,146,136,102,0,136,0,0
2018-06,21,170,611,145,136,83,308,687,0,0,0
2018-07,27,157,563,129,125,77,120,223,247,0,0
2018-08,34,233,705,188,132,225,315,119,584,0,0
2018-09,20,195,552,209,82,75,26,99,0,0,0
2018-10,33,168,527,159,116,57,31,76,591,0,0
2018-11,24,191,627,123,276,135,249,250,186,0,0
2018-12,27,138,678,291,135,168,338,594,0,0,0
2019-01,33,115,425,103,60,61,71,163,0,0,0
2019-02,17,234,619,198,53,18,83,199,0,0,0
2019-03,23,131,570,174,86,123,27,218,0,0,0
2019-04,14,133,523,164,123,66,176,207,0,0,0
2019-05,16,158,586,219,81,80,177,158,0,0,0
2019-06,26,117,541,261,150,134,280,100,0,0,0
2019-07,9,184,724,316,112,69,71,154,0,0,0
2019-08,14,220,711,226,117,51,119,332,0,0,0
2019-09,10,234,769,382,144,109,181,100,0,0,0
2019-10,19,242,827,445,126,97,60,270,0,0,0
2019-11,12,262,847,543,189,105,60,293,0,0,0
2019-12,25,196,526,676,401,146,157,465,154,0,0
2020-01,6,199,365,688,170,17,187,158,0,0,0
2020-02,9,243,586,820,219,65,35,94,154,0,0
2020-03,9,182,535,1009,337,128,109,746,0,0,0
2020-04,3,117,435,716,379,88,206,59,0,0,0
2020-05,10,104,409,720,264,39,171,259,0,0,0
2020-06,13,76,374,607,253,124,305,380,0,0,0
2020-07,14,138,321,836,294,107,38,99,0,0,0
2020-08,9,119,294,778,213,33,98,178,0,0,0
2020-09,8,137,379,993,259,102,87,200,0,0,0
2020-10,13,137,482,797,248,74,65,300,0,0,0
