year,month,size,count
2010,1,Less than 2.5 kW,7881
2010,1,2.5 to 4.5 kW,401
2010,1,4.5 to 6.5 kW,88
2010,1,6.5 to 9.5 kW,10
2010,1,9.5 to 14 kW,16
2010,1,14 to 25 kW,0
2010,1,25 to 100 kW,2
2010,2,Less than 2.5 kW,9387
2010,2,2.5 to 4.5 kW,718
2010,2,4.5 to 6.5 kW,133
2010,2,6.5 to 9.5 kW,23
2010,2,9.5 to 14 kW,29
2010,2,14 to 25 kW,5
2010,2,25 to 100 kW,0
2010,3,Less than 2.5 kW,11921
2010,3,2.5 to 4.5 kW,1006
2010,3,4.5 to 6.5 kW,202
2010,3,6.5 to 9.5 kW,34
2010,3,9.5 to 14 kW,51
2010,3,14 to 25 kW,7
2010,3,25 to 100 kW,7
2010,4,Less than 2.5 kW,11838
2010,4,2.5 to 4.5 kW,1260
2010,4,4.5 to 6.5 kW,224
2010,4,6.5 to 9.5 kW,30
2010,4,9.5 to 14 kW,53
2010,4,14 to 25 kW,7
2010,4,25 to 100 kW,1
2010,5,Less than 2.5 kW,14743
2010,5,2.5 to 4.5 kW,1562
2010,5,4.5 to 6.5 kW,243
2010,5,6.5 to 9.5 kW,48
2010,5,9.5 to 14 kW,82
2010,5,14 to 25 kW,4
2010,5,25 to 100 kW,5
2010,6,Less than 2.5 kW,15577
2010,6,2.5 to 4.5 kW,1941
2010,6,4.5 to 6.5 kW,395
2010,6,6.5 to 9.5 kW,64
2010,6,9.5 to 14 kW,166
2010,6,14 to 25 kW,7
2010,6,25 to 100 kW,10
2010,7,Less than 2.5 kW,13667
2010,7,2.5 to 4.5 kW,2383
2010,7,4.5 to 6.5 kW,503
2010,7,6.5 to 9.5 kW,78
2010,7,9.5 to 14 kW,161
2010,7,14 to 25 kW,7
2010,7,25 to 100 kW,9
2010,8,Less than 2.5 kW,13902
2010,8,2.5 to 4.5 kW,2625
2010,8,4.5 to 6.5 kW,565
2010,8,6.5 to 9.5 kW,96
2010,8,9.5 to 14 kW,181
2010,8,14 to 25 kW,10
2010,8,25 to 100 kW,11
2010,9,Less than 2.5 kW,14993
2010,9,2.5 to 4.5 kW,3043
2010,9,4.5 to 6.5 kW,651
2010,9,6.5 to 9.5 kW,93
2010,9,9.5 to 14 kW,216
2010,9,14 to 25 kW,14
2010,9,25 to 100 kW,12
2010,10,Less than 2.5 kW,16737
2010,10,2.5 to 4.5 kW,3376
2010,10,4.5 to 6.5 kW,723
2010,10,6.5 to 9.5 kW,121
2010,10,9.5 to 14 kW,195
2010,10,14 to 25 kW,9
2010,10,25 to 100 kW,9
2010,11,Less than 2.5 kW,19523
2010,11,2.5 to 4.5 kW,4206
2010,11,4.5 to 6.5 kW,874
2010,11,6.5 to 9.5 kW,99
2010,11,9.5 to 14 kW,231
2010,11,14 to 25 kW,26
2010,11,25 to 100 kW,25
2010,12,Less than 2.5 kW,14366
2010,12,2.5 to 4.5 kW,3335
2010,12,4.5 to 6.5 kW,631
2010,12,6.5 to 9.5 kW,89
2010,12,9.5 to 14 kW,207
2010,12,14 to 25 kW,14
2010,12,25 to 100 kW,12
2011,1,Less than 2.5 kW,19059
2011,1,2.5 to 4.5 kW,4870
2011,1,4.5 to 6.5 kW,1024
2011,1,6.5 to 9.5 kW,122
2011,1,9.5 to 14 kW,360
2011,1,14 to 25 kW,15
2011,1,25 to 100 kW,16
2011,2,Less than 2.5 kW,21869
2011,2,2.5 to 4.5 kW,5372
2011,2,4.5 to 6.5 kW,1088
2011,2,6.5 to 9.5 kW,153
2011,2,9.5 to 14 kW,329
2011,2,14 to 25 kW,25
2011,2,25 to 100 kW,14
2011,3,Less than 2.5 kW,26644
2011,3,2.5 to 4.5 kW,6766
2011,3,4.5 to 6.5 kW,1439
2011,3,6.5 to 9.5 kW,139
2011,3,9.5 to 14 kW,503
2011,3,14 to 25 kW,22
2011,3,25 to 100 kW,15
2011,4,Less than 2.5 kW,24638
2011,4,2.5 to 4.5 kW,6480
