"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"0800","119","202","34.7","3251.0","395.0","2612.0","244.0","70","48","1","32376.0","207,209","48.4"
"0810","3579","10057","34.5","25424.0","18959.0","4855.0","1610.0","3470","106","3","198075.0","1,267,682","297.7"
"0812","1976","6486","29.7","12878.0","10566.0","1847.0","465.0","1925","49","2","101247.0","647,978","151.9"
"0820","1235","5593","19.4","19228.0","6668.0","6307.0","6253.0","1083","148","4","188975.0","1,209,440","286.2"
"0822","1018","8985","9.4","17252.0","5478.0","5440.0","6334.0","848","159","11","140603.0","899,862","214.0"
"0828","299","583","41.3","4044.0","1525.0","2519.0","0.0","241","58","0","58001.0","371,208","88.4"
"0829","37","341","5.9","900.0","140.0","760.0","0.0","20","17","0","53328.0","341,300","80.8"
"0830","2167","6006","34.8","16220.0","11533.0","2595.0","2092.0","2092","71","4","123408.0","789,812","185.2"
"0832","2613","7292","35.3","16516.0","14799.0","1327.0","390.0","2571","41","1","86298.0","552,306","129.5"
"0834","261","822","30.0","1992.0","1737.0","255.0","0.0","247","14","0","20441.0","130,821","30.7"
"0835","538","1311","39.1","3755.0","3072.0","683.0","0.0","512","26","0","41918.0","268,277","62.9"
"0836","1294","3014","40.9","9233.0","8076.0","1157.0","0.0","1234","60","0","79945.0","511,646","120.0"
"0837","67","249","24.1","13139.0","402.0","232.0","12505.0","60","6","1","8113.0","51,925","12.3"
"0838","133","383","32.1","1078.0","817.0","261.0","0.0","123","10","0","9796.0","62,696","14.7"
"0839","31","377","5.0","1176.0","115.0","584.0","477.0","19","10","2","4218.0","26,996","6.3"
"0840","125","420","29.3","796.0","772.0","24.0","0.0","123","2","0","6546.0","41,892","9.8"
"0841","83","321","22.1","903.0","492.0","411.0","0.0","71","12","0","9994.0","63,963","15.2"
"0845","80","278","23.4","25696.0","328.0","321.0","25047.0","65","13","2","7270.0","46,528","11.1"
"0846","49","251","17.9","327.0","235.0","92.0","0.0","45","4","0","0.0","0","0.0"
"0847","24","267","7.9","283.0","125.0","158.0","0.0","21","3","0","0.0","0","0.0"
"0850","878","3284","24.4","41312.0","4458.0","2823.0","34031.0","802","74","2","77527.0","496,170","123.1"
"0852","237","3297","5.1","4809.0","910.0","2115.0","1784.0","168","64","5","8261.0","52,870","12.8"
"0853","2","190","0.5","53.0","3.0","50.0","0.0","1","1","0","14440.0","92,418","22.8"
"0854","17","324","3.4","234.0","60.0","174.0","0.0","11","6","0","5539.0","35,452","8.7"
"0860","143","1209","10.8","1028.0","683.0","345.0","0.0","130","13","0","29800.0","190,721","48.9"
"0862","34","681","3.4","377.0","118.0","259.0","0.0","23","11","0","0.0","0","0.0"
"0870","2769","9083","28.6","24357.0","12387.0","5524.0","6446.0","2602","157","10","179322.0","1,147,661","294.6"
"0872","234","5125","2.9","7964.0","727.0","2105.0","5132.0","148","72","14","734.0","4,696","1.2"
"0873","150","1807","7.7","1435.0","882.0","255.0","298.0","140","9","1","32502.0","208,015","53.1"
"0874","21","297","6.7","161.0","121.0","40.0","0.0","20","1","0","3646.0","23,336","6.0"
"0875","154","1019","14.5","1052.0","845.0","207.0","0.0","148","6","0","13650.0","87,362","22.3"
"0880","24","1670","0.9","674.0","45.0","194.0","435.0","15","8","1","0.0","0","0.0"
"0885","24","348","2.0","772.0","44.0","728.0","0.0","7","17","0","0.0","0","0.0"
"0886","12","596","0.7","8622.0","21.0","151.0","8450.0","4","7","1","10849.0","69,436","16.6"
"2000","62","821","2.8","2460.0","99.0","1339.0","1022.0","23","36","3","56265.0","360,097","72.1"
"2007","30","288","7.3","401.0","82.0","319.0","0.0","21","9","0","16683.0","106,772","21.4"
"2008","92","1251","5.8","872.0","244.0","628.0","0.0","72","20","0","19225.0","123,041","24.7"
"2009","24","662","1.8","1519.0","41.0","523.0","955.0","12","9","3","18489.0","118,330","23.8"
"2010","216","4207","4.3","1574.0","686.0","888.0","0.0","182","34","0","55246.0","353,576","71.1"
"2011","54","1580","2.0","827.0","125.0","702.0","0.0","32","22","0","27559.0","176,379","35.7"
"2015","291","1882","10.7","5966.0","819.0","3625.0","1522.0","202","85","4","111985.0","716,707","144.7"
"2016","150","2135","6.3","1197.0","479.0","434.0","284.0","134","15","1","25204.0","161,303","32.4"
"2017","97","1276","5.2","1363.0","271.0","1092.0","0.0","66","31","0","38899.0","248,954","50.0"
"2018","462","2758","15.0","2915.0","1866.0","1049.0","0.0","415","47","0","55474.0","355,036","71.4"
"2019","447","2427","14.9","4421.0","1558.0","2863.0","0.0","361","86","0","111059.0","710,774","145.9"
"2020","405","2236","16.1","3981.0","1550.0","1722.0","709.0","359","44","2","89051.0","569,928","113.3"
"2021","266","4536","5.3","1637.0","984.0","653.0","0.0","240","26","0","40176.0","257,127","51.8"
"2022","328","2566","11.8","1807.0","1338.0","469.0","0.0","304","24","0","33800.0","216,322","43.5"
"2023","286","1713","12.4","2172.0","1106.0","1066.0","0.0","213","73","0","32095.0","205,406","41.4"
"2024","437","2213","17.4","2910.0","1734.0","1176.0","0.0","384","53","0","27898.0","178,548","35.9"
"2025","157","1730","8.0","995.0","673.0","322.0","0.0","138","19","0","20893.0","133,716","26.9"
"2026","671","3876","15.7","3721.0","2754.0","967.0","0.0","607","64","0","61928.0","396,340","79.8"
"2027","86","826","8.5","631.0","331.0","300.0","0.0","70","16","0","18381.0","117,640","23.7"
"2028","75","596","9.4","656.0","283.0","373.0","0.0","56","19","0","13647.0","87,338","17.6"
"2029","207","1325","12.6","1397.0","823.0","574.0","0.0","167","40","0","26894.0","172,120","34.6"
"2030","525","3521","12.0","3743.0","2099.0","1644.0","0.0","421","104","0","52119.0","333,559","67.3"
"2031","838","5206","14.6","4972.0","3391.0","1581.0","0.0","759","79","0","92295.0","590,691","119.1"
"2032","449","3206","12.8","2507.0","1860.0","647.0","0.0","409","40","0","41528.0","265,780","53.5"
"2033","243","1409","14.9","2067.0","1016.0","521.0","530.0","210","29","4","39241.0","251,141","50.5"
"2034","546","2669","18.3","3037.0","2257.0","780.0","0.0","488","58","0","44349.0","283,832","57.1"
"2035","1347","7769","15.6","7573.0","5306.0","2267.0","0.0","1212","135","0","99434.0","636,380","128.1"
"2036","1486","6947","18.9","9091.0","5978.0","2878.0","235.0","1313","172","1","144448.0","924,466","187.8"
"2037","314","4644","6.3","1635.0","1158.0","477.0","0.0","294","20","0","39238.0","251,120","50.5"
"2038","393","3028","12.5","1720.0","1453.0","267.0","0.0","377","16","0","31250.0","200,002","40.4"
"2039","291","2622","10.7","1349.0","1088.0","261.0","0.0","281","10","0","24977.0","159,851","32.4"
"2040","983","7255","12.7","5173.0","3749.0","1424.0","0.0","923","60","0","82259.0","526,460","106.3"
"2041","554","4854","10.9","2421.0","2068.0","353.0","0.0","531","23","0","37098.0","237,430","47.8"
"2042","600","5651","10.1","2827.0","2126.0","701.0","0.0","569","31","0","46923.0","300,310","60.4"
"2043","149","1817","7.8","759.0","515.0","244.0","0.0","141","8","0","16899.0","108,152","21.7"
"2044","459","2742","15.4","3677.0","1647.0","1040.0","990.0","421","37","1","57432.0","367,562","74.8"
"2045","350","2171","13.6","2574.0","1565.0","1009.0","0.0","296","54","0","35743.0","228,753","46.0"
"2046","1049","6610","13.8","6466.0","4082.0","2384.0","0.0","913","136","0","89524.0","572,951","115.6"
"2047","334","2272","13.3","1821.0","1377.0","444.0","0.0","303","31","0","34940.0","223,615","45.0"
"2048","262","2120","11.6","1493.0","1016.0","477.0","0.0","245","17","0","25607.0","163,884","33.0"
"2049","405","2637","14.5","2042.0","1543.0","499.0","0.0","382","23","0","36567.0","234,029","47.1"
"2050","172","1160","12.5","1466.0","488.0","978.0","0.0","145","27","0","29015.0","185,698","37.4"
"2060","225","2401","8.0","1840.0","790.0","770.0","280.0","191","33","1","37266.0","238,500","48.1"
"2061","26","301","6.6","206.0","86.0","120.0","0.0","20","6","0","9251.0","59,204","11.9"
"2062","183","1385","12.5","938.0","783.0","155.0","0.0","173","10","0","16051.0","102,724","20.7"
"2063","473","1966","20.1","3132.0","1885.0","1247.0","0.0","395","78","0","27190.0","174,013","35.0"
"2064","308","1272","19.0","3026.0","1142.0","1884.0","0.0","242","66","0","50149.0","320,953","65.8"
"2065","743","4746","14.2","4604.0","2881.0","1393.0","330.0","675","66","2","81120.0","519,167","104.7"
"2066","1486","6443","19.8","9465.0","5768.0","3537.0","160.0","1275","210","1","100326.0","642,085","130.0"
"2067","749","3948","17.2","4120.0","2895.0","1225.0","0.0","678","71","0","74471.0","476,615","96.3"
"2068","1058","5250","17.9","6240.0","4608.0","1632.0","0.0","942","116","0","66930.0","428,355","86.2"
"2069","871","4118","18.1","5463.0","3574.0","1889.0","0.0","747","124","0","67385.0","431,262","86.9"
"2070","798","3371","20.1","5077.0","3313.0","1764.0","0.0","678","120","0","57358.0","367,091","74.0"
"2071","743","3302","17.7","5056.0","2856.0","2200.0","0.0","585","158","0","54334.0","347,736","70.0"
"2072","319","1693","15.2","2283.0","1194.0","1089.0","0.0","257","62","0","31217.0","199,789","40.2"
"2073","987","4872","17.0","6870.0","4118.0","2272.0","480.0","828","157","2","74899.0","479,353","96.4"
"2074","1510","6518","19.6","9290.0","6034.0","3256.0","0.0","1278","232","0","104607.0","669,482","134.5"
"2075","1297","6400","16.9","8670.0","5607.0","3063.0","0.0","1079","218","0","94073.0","602,068","121.2"
"2076","1426","7419","16.7","9119.0","5646.0","3300.0","173.0","1237","188","1","111816.0","715,620","144.0"
"2077","1772","7658","20.5","11509.0","6967.0","3300.0","1242.0","1573","196","3","143336.0","917,348","185.0"
"2079","615","2434","22.8","3223.0","2517.0","706.0","0.0","556","59","0","29769.0","190,524","38.3"
"2080","183","609","25.3","1333.0","680.0","653.0","0.0","154","29","0","19419.0","124,281","25.5"
"2081","616","1868","31.3","2831.0","2457.0","374.0","0.0","585","31","0","22743.0","145,553","29.4"
"2082","654","1858","33.0","3252.0","2654.0","598.0","0.0","614","40","0","23898.0","152,947","30.8"
"2083","221","869","22.1","1186.0","767.0","419.0","0.0","192","29","0","11829.0","75,704","15.3"
"2084","354","1161","24.6","2605.0","1389.0","1216.0","0.0","286","68","0","37406.0","239,397","48.4"
"2085","1080","4260","22.8","6175.0","4288.0","1887.0","0.0","973","107","0","61073.0","390,867","78.7"
"2086","1082","4344","22.5","5904.0","4367.0","1537.0","0.0","977","105","0","65602.0","419,854","84.5"
"2087","1017","4270","21.4","5503.0","4069.0","1434.0","0.0","915","102","0","56992.0","364,751","73.5"
"2088","937","6085","12.8","6322.0","3760.0","2562.0","0.0","780","157","0","97321.0","622,852","125.4"
"2089","122","1167","8.9","852.0","466.0","386.0","0.0","104","18","0","23646.0","151,337","30.5"
"2090","244","1867","11.7","1335.0","922.0","413.0","0.0","218","26","0","28624.0","183,193","36.9"
"2092","515","2425","18.1","3305.0","1982.0","1323.0","0.0","438","77","0","28914.0","185,047","37.3"
"2093","1290","6112","18.7","7821.0","5321.0","2500.0","0.0","1144","146","0","76278.0","488,182","98.4"
"2094","218","1356","14.7","1147.0","894.0","253.0","0.0","200","18","0","14438.0","92,405","18.6"
"2095","384","1733","19.5","2424.0","1573.0","851.0","0.0","338","46","0","42011.0","268,868","54.2"
"2096","697","2916","21.3","3775.0","2806.0","969.0","0.0","620","77","0","36039.0","230,647","46.5"
"2097","966","3926","22.5","5006.0","3814.0","1192.0","0.0","882","84","0","50814.0","325,208","65.5"
"2099","1826","7917","20.8","10211.0","7307.0","2775.0","129.0","1649","176","1","121618.0","778,353","157.3"
"2100","1571","6126","22.0","11134.0","6107.0","4594.0","433.0","1348","221","2","130330.0","834,111","169.5"
"2101","1045","4911","18.7","5847.0","3920.0","1927.0","0.0","919","126","0","83974.0","537,436","108.2"
"2102","595","2051","26.5","3482.0","2325.0","1157.0","0.0","544","51","0","39911.0","255,431","51.7"
"2103","672","3025","19.1","4590.0","2645.0","1945.0","0.0","578","94","0","56117.0","359,147","72.7"
"2104","250","1807","11.1","1711.0","909.0","802.0","0.0","201","49","0","19304.0","123,544","24.9"
"2105","131","1018","11.1","766.0","525.0","241.0","0.0","113","18","0","7940.0","50,817","10.3"
"2106","471","2800","14.4","2694.0","1773.0","921.0","0.0","404","67","0","37801.0","241,929","48.8"
"2107","915","5130","15.6","5369.0","3701.0","1668.0","0.0","801","114","0","66700.0","426,883","86.2"
"2108","135","1242","8.9","792.0","493.0","299.0","0.0","110","25","0","18828.0","120,498","24.3"
"2109","1","233","0.0","21.0","0.0","21.0","0.0","0","1","0","0.0","0","0.0"
"2110","481","2838","14.7","2909.0","1976.0","933.0","0.0","416","65","0","40698.0","260,466","52.4"
"2111","751","4179","15.5","4551.0","2999.0","1552.0","0.0","649","102","0","58567.0","374,831","75.7"
"2112","1552","8281","16.6","9352.0","6073.0","2979.0","300.0","1374","177","1","110888.0","709,680","142.7"
"2113","1103","5189","18.6","9412.0","4416.0","4143.0","853.0","967","132","4","115638.0","740,082","148.8"
"2114","1045","5220","18.0","6041.0","3987.0","1790.0","264.0","940","104","1","85572.0","547,658","110.8"
"2115","638","4099","14.1","3540.0","2606.0","934.0","0.0","579","59","0","40581.0","259,721","52.4"
"2116","371","2635","11.5","4392.0","1266.0","1927.0","1199.0","302","66","3","68152.0","436,175","89.7"
"2117","1154","7766","13.1","6610.0","4553.0","2057.0","0.0","1020","134","0","65214.0","417,369","83.9"
"2118","1816","6708","24.5","8884.0","6582.0","2302.0","0.0","1642","174","0","89403.0","572,181","115.0"
"2119","833","3761","19.5","4759.0","3395.0","1364.0","0.0","733","100","0","44517.0","284,909","57.3"
"2120","1461","6844","18.8","9088.0","5897.0","3191.0","0.0","1287","174","0","87458.0","559,734","112.9"
"2121","1737","7470","21.2","8891.0","6839.0","2052.0","0.0","1587","150","0","98088.0","627,764","126.2"
"2122","1626","9877","15.0","8018.0","5795.0","2223.0","0.0","1486","140","0","100212.0","641,354","129.0"
"2125","1826","5444","28.8","10366.0","7020.0","3346.0","0.0","1567","259","0","75949.0","486,074","97.7"
"2126","2015","5911","31.1","10350.0","7983.0","2367.0","0.0","1838","177","0","74935.0","479,583","96.4"
"2127","121","1153","7.9","2366.0","441.0","1663.0","262.0","91","28","2","55536.0","355,428","71.3"
"2128","153","668","11.2","3446.0","321.0","2729.0","396.0","75","76","2","77746.0","497,576","103.1"
"2130","208","1170","16.2","1298.0","844.0","454.0","0.0","190","18","0","22315.0","142,817","28.8"
"2131","555","3044","16.6","3234.0","1975.0","1259.0","0.0","506","49","0","58298.0","373,106","75.1"
