year,month,size,count
2010.0,1.0,<2.5kW,7881
2010.0,1.0,2.5<4.5kW,401
2010.0,1.0,4.5<6.5kW,88
2010.0,1.0,6.5<9.5kW,10
2010.0,1.0,9.5<14kW,16
2010.0,1.0,14<25kW,0
2010.0,1.0,25<=100kW,2
2010.0,2.0,<2.5kW,9387
2010.0,2.0,2.5<4.5kW,718
2010.0,2.0,4.5<6.5kW,133
2010.0,2.0,6.5<9.5kW,23
2010.0,2.0,9.5<14kW,29
2010.0,2.0,14<25kW,5
2010.0,2.0,25<=100kW,0
2010.0,3.0,<2.5kW,11921
2010.0,3.0,2.5<4.5kW,1006
2010.0,3.0,4.5<6.5kW,202
2010.0,3.0,6.5<9.5kW,34
2010.0,3.0,9.5<14kW,51
2010.0,3.0,14<25kW,7
2010.0,3.0,25<=100kW,7
2010.0,4.0,<2.5kW,11838
2010.0,4.0,2.5<4.5kW,1260
2010.0,4.0,4.5<6.5kW,224
2010.0,4.0,6.5<9.5kW,30
2010.0,4.0,9.5<14kW,53
2010.0,4.0,14<25kW,7
2010.0,4.0,25<=100kW,1
2010.0,5.0,<2.5kW,14743
2010.0,5.0,2.5<4.5kW,1562
2010.0,5.0,4.5<6.5kW,243
2010.0,5.0,6.5<9.5kW,48
2010.0,5.0,9.5<14kW,82
2010.0,5.0,14<25kW,4
2010.0,5.0,25<=100kW,5
2010.0,6.0,<2.5kW,15577
2010.0,6.0,2.5<4.5kW,1941
2010.0,6.0,4.5<6.5kW,395
2010.0,6.0,6.5<9.5kW,64
2010.0,6.0,9.5<14kW,166
2010.0,6.0,14<25kW,7
2010.0,6.0,25<=100kW,10
2010.0,7.0,<2.5kW,13667
2010.0,7.0,2.5<4.5kW,2383
2010.0,7.0,4.5<6.5kW,503
2010.0,7.0,6.5<9.5kW,78
2010.0,7.0,9.5<14kW,161
2010.0,7.0,14<25kW,7
2010.0,7.0,25<=100kW,9
2010.0,8.0,<2.5kW,13902
2010.0,8.0,2.5<4.5kW,2625
2010.0,8.0,4.5<6.5kW,565
2010.0,8.0,6.5<9.5kW,96
2010.0,8.0,9.5<14kW,181
2010.0,8.0,14<25kW,10
2010.0,8.0,25<=100kW,11
2010.0,9.0,<2.5kW,14993
2010.0,9.0,2.5<4.5kW,3043
2010.0,9.0,4.5<6.5kW,651
2010.0,9.0,6.5<9.5kW,93
2010.0,9.0,9.5<14kW,216
2010.0,9.0,14<25kW,14
2010.0,9.0,25<=100kW,12
2010.0,10.0,<2.5kW,16737
2010.0,10.0,2.5<4.5kW,3376
2010.0,10.0,4.5<6.5kW,723
2010.0,10.0,6.5<9.5kW,121
2010.0,10.0,9.5<14kW,195
2010.0,10.0,14<25kW,9
2010.0,10.0,25<=100kW,9
2010.0,11.0,<2.5kW,19523
2010.0,11.0,2.5<4.5kW,4206
2010.0,11.0,4.5<6.5kW,874
2010.0,11.0,6.5<9.5kW,99
2010.0,11.0,9.5<14kW,231
2010.0,11.0,14<25kW,26
2010.0,11.0,25<=100kW,25
2010.0,12.0,<2.5kW,14366
2010.0,12.0,2.5<4.5kW,3335
2010.0,12.0,4.5<6.5kW,631
2010.0,12.0,6.5<9.5kW,89
2010.0,12.0,9.5<14kW,207
2010.0,12.0,14<25kW,14
2010.0,12.0,25<=100kW,12
2011.0,1.0,<2.5kW,19059
2011.0,1.0,2.5<4.5kW,4870
2011.0,1.0,4.5<6.5kW,1024
2011.0,1.0,6.5<9.5kW,122
2011.0,1.0,9.5<14kW,360
2011.0,1.0,14<25kW,15
2011.0,1.0,25<=100kW,16
2011.0,2.0,<2.5kW,21869
2011.0,2.0,2.5<4.5kW,5372
2011.0,2.0,4.5<6.5kW,1088
2011.0,2.0,6.5<9.5kW,153
2011.0,2.0,9.5<14kW,329
2011.0,2.0,14<25kW,25
2011.0,2.0,25<=100kW,14
2011.0,3.0,<2.5kW,26644
2011.0,3.0,2.5<4.5kW,6766
2011.0,3.0,4.5<6.5kW,1439
2011.0,3.0,6.5<9.5kW,139
2011.0,3.0,9.5<14kW,503
2011.0,3.0,14<25kW,22
2011.0,3.0,25<=100kW,15
2011.0,4.0,<2.5kW,24638
2011.0,4.0,2.5<4.5kW,6480
2011.0,4.0,4.5<6.5kW,1352
2011.0,4.0,6.5<9.5kW,155
2011.0,4.0,9.5<14kW,507
2011.0,4.0,14<25kW,31
2011.0,4.0,25<=100kW,17
2011.0,5.0,<2.5kW,36479
2011.0,5.0,2.5<4.5kW,10810
2011.0,5.0,4.5<6.5kW,2189
2011.0,5.0,6.5<9.5kW,196
2011.0,5.0,9.5<14kW,533
2011.0,5.0,14<25kW,38
2011.0,5.0,25<=100kW,45
2011.0,6.0,<2.5kW,47054
2011.0,6.0,2.5<4.5kW,16742
2011.0,6.0,4.5<6.5kW,4034
2011.0,6.0,6.5<9.5kW,302
2011.0,6.0,9.5<14kW,538
2011.0,6.0,14<25kW,116
2011.0,6.0,25<=100kW,82
2011.0,7.0,<2.5kW,14576
2011.0,7.0,2.5<4.5kW,5994
2011.0,7.0,4.5<6.5kW,1354
2011.0,7.0,6.5<9.5kW,82
2011.0,7.0,9.5<14kW,156
2011.0,7.0,14<25kW,38
2011.0,7.0,25<=100kW,20
2011.0,8.0,<2.5kW,13131
2011.0,8.0,2.5<4.5kW,6999
2011.0,8.0,4.5<6.5kW,1732
2011.0,8.0,6.5<9.5kW,73
2011.0,8.0,9.5<14kW,141
2011.0,8.0,14<25kW,26
2011.0,8.0,25<=100kW,25
2011.0,9.0,<2.5kW,13421
2011.0,9.0,2.5<4.5kW,8508
2011.0,9.0,4.5<6.5kW,2621
2011.0,9.0,6.5<9.5kW,114
2011.0,9.0,9.5<14kW,144
2011.0,9.0,14<25kW,31
2011.0,9.0,25<=100kW,36
2011.0,10.0,<2.5kW,9715
2011.0,10.0,2.5<4.5kW,5150
2011.0,10.0,4.5<6.5kW,1493
2011.0,10.0,6.5<9.5kW,109
2011.0,10.0,9.5<14kW,147
2011.0,10.0,14<25kW,25
2011.0,10.0,25<=100kW,30
2011.0,11.0,<2.5kW,10370
2011.0,11.0,2.5<4.5kW,5474
2011.0,11.0,4.5<6.5kW,1828
