year,month,size,installations,capacity
2007,1,Less than 2.5 kW,,96
2007,1,2.5 to 4.5 kW,,33
2007,1,4.5 to 6.5 kW,,5
2007,1,6.5 to 9.5 kW,,0
2007,1,9.5 to 14 kW,,10
2007,1,14 to 25 kW,,20
2007,1,25 to 100 kW,,0
2007,1,100 kW to 5 MW,,0
2007,1,5 MW to 30 MW,,0
2007,1,More than 30 MW,,0
2007,2,Less than 2.5 kW,,132
2007,2,2.5 to 4.5 kW,,26
2007,2,4.5 to 6.5 kW,,10
2007,2,6.5 to 9.5 kW,,15
2007,2,9.5 to 14 kW,,0
2007,2,14 to 25 kW,,0
2007,2,25 to 100 kW,,0
2007,2,100 kW to 5 MW,,0
2007,2,5 MW to 30 MW,,0
2007,2,More than 30 MW,,0
2007,3,Less than 2.5 kW,,156
2007,3,2.5 to 4.5 kW,,26
2007,3,4.5 to 6.5 kW,,15
2007,3,6.5 to 9.5 kW,,22
2007,3,9.5 to 14 kW,,11
2007,3,14 to 25 kW,,0
2007,3,25 to 100 kW,,0
2007,3,100 kW to 5 MW,,0
2007,3,5 MW to 30 MW,,0
2007,3,More than 30 MW,,0
2007,4,Less than 2.5 kW,,123
2007,4,2.5 to 4.5 kW,,38
2007,4,4.5 to 6.5 kW,,16
2007,4,6.5 to 9.5 kW,,20
2007,4,9.5 to 14 kW,,11
2007,4,14 to 25 kW,,0
2007,4,25 to 100 kW,,0
2007,4,100 kW to 5 MW,,0
2007,4,5 MW to 30 MW,,0
2007,4,More than 30 MW,,0
2007,5,Less than 2.5 kW,,113
2007,5,2.5 to 4.5 kW,,24
2007,5,4.5 to 6.5 kW,,31
2007,5,6.5 to 9.5 kW,,0
2007,5,9.5 to 14 kW,,0
2007,5,14 to 25 kW,,0
2007,5,25 to 100 kW,,0
2007,5,100 kW to 5 MW,,0
2007,5,5 MW to 30 MW,,0
2007,5,More than 30 MW,,0
2007,6,Less than 2.5 kW,,195
2007,6,2.5 to 4.5 kW,,70
2007,6,4.5 to 6.5 kW,,21
2007,6,6.5 to 9.5 kW,,15
2007,6,9.5 to 14 kW,,0
2007,6,14 to 25 kW,,0
2007,6,25 to 100 kW,,0
2007,6,100 kW to 5 MW,,0
2007,6,5 MW to 30 MW,,0
2007,6,More than 30 MW,,0
2007,7,Less than 2.5 kW,,337
2007,7,2.5 to 4.5 kW,,65
2007,7,4.5 to 6.5 kW,,10
2007,7,6.5 to 9.5 kW,,9
2007,7,9.5 to 14 kW,,0
2007,7,14 to 25 kW,,38
2007,7,25 to 100 kW,,0
2007,7,100 kW to 5 MW,,0
2007,7,5 MW to 30 MW,,0
2007,7,More than 30 MW,,0
2007,8,Less than 2.5 kW,,417
2007,8,2.5 to 4.5 kW,,114
2007,8,4.5 to 6.5 kW,,27
2007,8,6.5 to 9.5 kW,,0
2007,8,9.5 to 14 kW,,11
2007,8,14 to 25 kW,,0
2007,8,25 to 100 kW,,0
2007,8,100 kW to 5 MW,,0
2007,8,5 MW to 30 MW,,0
2007,8,More than 30 MW,,0
2007,9,Less than 2.5 kW,,462
2007,9,2.5 to 4.5 kW,,149
2007,9,4.5 to 6.5 kW,,26
2007,9,6.5 to 9.5 kW,,8
2007,9,9.5 to 14 kW,,26
2007,9,14 to 25 kW,,0
2007,9,25 to 100 kW,,0
2007,9,100 kW to 5 MW,,0
2007,9,5 MW to 30 MW,,0
2007,9,More than 30 MW,,0
2007,10,Less than 2.5 kW,,602
2007,10,2.5 to 4.5 kW,,190
2007,10,4.5 to 6.5 kW,,42
2007,10,6.5 to 9.5 kW,,30
2007,10,9.5 to 14 kW,,10
2007,10,14 to 25 kW,,36
2007,10,25 to 100 kW,,0
2007,10,100 kW to 5 MW,,0
2007,10,5 MW to 30 MW,,0
2007,10,More than 30 MW,,0
2007,11,Less than 2.5 kW,,606
2007,11,2.5 to 4.5 kW,,142
2007,11,4.5 to 6.5 kW,,48
2007,11,6.5 to 9.5 kW,,0
2007,11,9.5 to 14 kW,,10
2007,11,14 to 25 kW,,0
2007,11,25 to 100 kW,,32
2007,11,100 kW to 5 MW,,0
2007,11,5 MW to 30 MW,,0
2007,11,More than 30 MW,,0
2007,12,Less than 2.5 kW,,584
2007,12,2.5 to 4.5 kW,,178
2007,12,4.5 to 6.5 kW,,43
2007,12,6.5 to 9.5 kW,,39
2007,12,9.5 to 14 kW,,58
2007,12,14 to 25 kW,,31
2007,12,25 to 100 kW,,64
2007,12,100 kW to 5 MW,,0
2007,12,5 MW to 30 MW,,0
2007,12,More than 30 MW,,0
2008,1,Less than 2.5 kW,,616
2008,1,2.5 to 4.5 kW,,159
2008,1,4.5 to 6.5 kW,,20
2008,1,6.5 to 9.5 kW,,0
2008,1,9.5 to 14 kW,,0
2008,1,14 to 25 kW,,0
2008,1,25 to 100 kW,,99
2008,1,100 kW to 5 MW,,0
2008,1,5 MW to 30 MW,,0
