year-month,cumulative_installed_kw,installations_in_month
2001-04,15,12
2001-05,27,12
2001-06,60,19
2001-07,133,7
2001-08,150,10
2001-09,174,18
2001-10,191,10
2001-11,227,19
2001-12,249,13
2002-01,276,17
2002-02,304,19
2002-03,327,14
2002-04,344,15
2002-05,374,19
2002-06,390,16
2002-07,416,16
2002-08,444,19
2002-09,505,27
2002-10,536,21
2002-11,825,37
2002-12,3869,34
2003-01,4988,45
2003-02,5098,34
2003-03,5160,44
2003-04,5186,16
2003-05,5206,15
2003-06,5271,46
2003-07,5366,63
2003-08,5475,83
2003-09,5574,69
2003-10,5704,85
2003-11,5833,92
2003-12,5936,74
2004-01,5994,44
2004-02,6101,92
2004-03,6198,68
2004-04,6318,75
2004-05,6432,84
2004-06,6534,85
2004-07,6625,89
2004-08,6747,102
2004-09,6833,85
2004-10,6985,137
2004-11,7116,120
2004-12,7251,108
2005-01,7389,99
2005-02,7509,118
2005-03,7622,110
2005-04,8228,141
2005-05,8394,137
2005-06,8529,95
2005-07,8682,106
2005-08,8839,107
2005-09,8969,97
2005-10,9154,115
2005-11,9357,142
2005-12,9814,142
2006-01,9912,59
2006-02,9991,57
2006-03,10149,91
2006-04,10566,80
2006-05,10717,97
2006-06,10855,88
2006-07,36543,81
2006-08,36679,86
2006-09,36817,89
2006-10,37008,124
2006-11,37247,138
2006-12,37465,130
2007-01,37627,106
2007-02,37809,118
2007-03,38035,154
2007-04,38244,134
2007-05,38414,122
2007-06,38714,196
2007-07,39168,282
2007-08,39732,363
2007-09,40405,422
2007-10,41321,543
2007-11,42163,522
2007-12,43152,524
2008-01,44037,528
2008-02,44987,645
2008-03,45960,684
2008-04,47298,875
2008-05,48791,1031
2008-06,50121,928
2008-07,51760,1147
2008-08,53376,1177
2008-09,55274,1329
2008-10,57774,1821
2008-11,60187,1769
2008-12,63196,2130
2009-01,65963,2170
2009-02,69751,2990
2009-03,74410,3573
2009-04,78910,3429
2009-05,84232,4082
2009-06,90044,4346
2009-07,96576,5169
2009-08,103946,5724
2009-09,112585,6268
2009-10,124291,7819
2009-11,137376,9280
2009-12,149629,8071
2010-01,162716,8400
2010-02,178472,10295
2010-03,200224,13228
2010-04,223057,13413
2010-05,252195,16688
2010-06,286214,18160
2010-07,320783,16808
2010-08,358055,17390
2010-09,399435,19022
2010-10,445182,21171
2010-11,499966,24984
2010-12,540994,18654
2011-01,599102,25466
2011-02,663683,28850
2011-03,743902,35529
2011-04,819897,33180
2011-05,936459,50291
2011-06,1103805,68868
2011-07,1157910,22220
2011-08,1214506,22127
2011-09,1282943,24877
2011-10,1326867,16669
2011-11,1375267,18080
2011-12,1415285,14597
2012-01,1449805,13018
2012-02,1502835,19567
2012-03,1565365,23633
2012-04,1636738,26554
2012-05,1759017,43479
2012-06,1938291,59214
2012-07,2017083,25778
2012-08,2115336,27994
2012-09,2211042,28422
2012-10,2284321,22610
2012-11,2358577,22508
2012-12,2465154,30564
2013-01,2516832,15005
2013-02,2572723,15489
2013-03,2633378,16143
2013-04,2696388,16741
2013-05,2775565,20144
2013-06,2867049,22224
2013-07,2931706,16766
2013-08,2992088,14963
2013-09,3054602,14891
2013-10,3127705,17317
2013-11,3212352,16968
2013-12,3276543,13756
2014-01,3337786,13770
2014-02,3396030,14118
2014-03,3458387,14265
2014-04,3519861,13501
2014-05,3613321,16192
2014-06,3678060,14418
2014-07,3751130,16264
2014-08,3817973,14780
2014-09,3890796,16579
2014-10,3966300,16813
2014-11,4033205,14159
2014-12,4098840,13533
2015-01,4152212,11467
2015-02,4213716,12877
2015-03,4379174,13169
2015-04,4432709,11074
2015-05,4492275,11630
2015-06,4552386,11787
2015-07,4671744,13111
2015-08,4734644,11625
2015-09,4796828,11780
2015-10,4858809,11485
2015-11,4922180,11243
2015-12,4981950,10306
2016-01,5024412,8216
2016-02,5137986,10968
2016-03,5195041,10653
2016-04,5263235,10292
2016-05,5322779,10694
2016-06,5386469,10073
2016-07,5444613,10138
2016-08,5510708,11471
2016-09,5579512,11317
2016-10,5645589,11063
2016-11,5724215,13446
2016-12,5848131,14448
2017-01,5904522,10136
2017-02,5977518,12999
2017-03,6087994,14247
2017-04,6158331,11661
2017-05,6256169,14690
2017-06,6352891,14072
