year,month,state,size,capacity
2007,1,aus,0,96
2007,1,aus,1,33
2007,1,aus,2,5
2007,1,aus,3,0
2007,1,aus,4,10
2007,1,aus,5,20
2007,1,aus,6,0
2007,1,aus,7,0
2007,1,aus,8,0
2007,1,aus,9,0
2007,1,aus,a,0
2007,2,aus,0,132
2007,2,aus,1,26
2007,2,aus,2,10
2007,2,aus,3,15
2007,2,aus,4,0
2007,2,aus,5,0
2007,2,aus,6,0
2007,2,aus,7,0
2007,2,aus,8,0
2007,2,aus,9,0
2007,2,aus,a,0
2007,3,aus,0,156
2007,3,aus,1,26
2007,3,aus,2,15
2007,3,aus,3,22
2007,3,aus,4,11
2007,3,aus,5,0
2007,3,aus,6,0
2007,3,aus,7,0
2007,3,aus,8,0
2007,3,aus,9,0
2007,3,aus,a,0
2007,4,aus,0,123
2007,4,aus,1,38
2007,4,aus,2,16
2007,4,aus,3,20
2007,4,aus,4,11
2007,4,aus,5,0
2007,4,aus,6,0
2007,4,aus,7,0
2007,4,aus,8,0
2007,4,aus,9,0
2007,4,aus,a,0
2007,5,aus,0,113
2007,5,aus,1,24
2007,5,aus,2,31
2007,5,aus,3,0
2007,5,aus,4,0
2007,5,aus,5,0
2007,5,aus,6,0
2007,5,aus,7,0
2007,5,aus,8,0
2007,5,aus,9,0
2007,5,aus,a,0
2007,6,aus,0,195
2007,6,aus,1,70
2007,6,aus,2,21
2007,6,aus,3,15
2007,6,aus,4,0
2007,6,aus,5,0
2007,6,aus,6,0
2007,6,aus,7,0
2007,6,aus,8,0
2007,6,aus,9,0
2007,6,aus,a,0
2007,7,aus,0,337
2007,7,aus,1,65
2007,7,aus,2,10
2007,7,aus,3,9
2007,7,aus,4,0
2007,7,aus,5,38
2007,7,aus,6,0
2007,7,aus,7,0
2007,7,aus,8,0
2007,7,aus,9,0
2007,7,aus,a,0
2007,8,aus,0,417
2007,8,aus,1,114
2007,8,aus,2,27
2007,8,aus,3,0
2007,8,aus,4,11
2007,8,aus,5,0
2007,8,aus,6,0
2007,8,aus,7,0
2007,8,aus,8,0
2007,8,aus,9,0
2007,8,aus,a,0
2007,9,aus,0,462
2007,9,aus,1,149
2007,9,aus,2,26
2007,9,aus,3,8
2007,9,aus,4,26
2007,9,aus,5,0
2007,9,aus,6,0
2007,9,aus,7,0
2007,9,aus,8,0
2007,9,aus,9,0
2007,9,aus,a,0
2007,10,aus,0,602
2007,10,aus,1,190
2007,10,aus,2,42
2007,10,aus,3,30
2007,10,aus,4,10
2007,10,aus,5,36
2007,10,aus,6,0
2007,10,aus,7,0
2007,10,aus,8,0
2007,10,aus,9,0
2007,10,aus,a,0
2007,11,aus,0,606
2007,11,aus,1,142
2007,11,aus,2,48
2007,11,aus,3,0
2007,11,aus,4,10
2007,11,aus,5,0
2007,11,aus,6,32
2007,11,aus,7,0
2007,11,aus,8,0
2007,11,aus,9,0
2007,11,aus,a,0
2007,12,aus,0,584
2007,12,aus,1,178
2007,12,aus,2,43
2007,12,aus,3,39
2007,12,aus,4,58
2007,12,aus,5,31
2007,12,aus,6,0
2007,12,aus,7,64
2007,12,aus,8,0
2007,12,aus,9,0
2007,12,aus,a,0
2008,1,aus,0,616
2008,1,aus,1,159
2008,1,aus,2,20
2008,1,aus,3,0
2008,1,aus,4,0
2008,1,aus,5,0
2008,1,aus,6,0
2008,1,aus,7,99
2008,1,aus,8,0
2008,1,aus,9,0
2008,1,aus,a,0
2008,2,aus,0,745
2008,2,aus,1,164
2008,2,aus,2,31
2008,2,aus,3,22
2008,2,aus,4,0
2008,2,aus,5,0
2008,2,aus,6,0
2008,2,aus,7,0
2008,2,aus,8,0
2008,2,aus,9,0
2008,2,aus,a,0
2008,3,aus,0,766
2008,3,aus,1,134
2008,3,aus,2,38
2008,3,aus,3,30
2008,3,aus,4,0
2008,3,aus,5,0
2008,3,aus,6,0
2008,3,aus,7,0
2008,3,aus,8,0
2008,3,aus,9,0
2008,3,aus,a,0
2008,4,aus,0,997
2008,4,aus,1,175
2008,4,aus,2,64
2008,4,aus,3,44
2008,4,aus,4,12
2008,4,aus,5,0
2008,4,aus,6,36
2008,4,aus,7,0
2008,4,aus,8,0
2008,4,aus,9,0
2008,4,aus,a,0
2008,5,aus,0,1179
2008,5,aus,1,236
2008,5,aus,2,37
2008,5,aus,3,23
2008,5,aus,4,11
2008,5,aus,5,0
2008,5,aus,6,0
2008,5,aus,7,0
2008,5,aus,8,0
2008,5,aus,9,0
2008,5,aus,a,0
2008,6,aus,0,1022
2008,6,aus,1,171
2008,6,aus,2,49
2008,6,aus,3,9
2008,6,aus,4,47
2008,6,aus,5,15
2008,6,aus,6,0
2008,6,aus,7,0
2008,6,aus,8,0
2008,6,aus,9,0
2008,6,aus,a,0
2008,7,aus,0,1221
2008,7,aus,1,227
2008,7,aus,2,80
2008,7,aus,3,16
2008,7,aus,4,34
2008,7,aus,5,49
2008,7,aus,6,0
2008,7,aus,7,0
2008,7,aus,8,0
2008,7,aus,9,0
2008,7,aus,a,0
2008,8,aus,0,1286
2008,8,aus,1,212
2008,8,aus,2,57
2008,8,aus,3,22
2008,8,aus,4,11
2008,8,aus,5,17
2008,8,aus,6,0
2008,8,aus,7,0
2008,8,aus,8,0
2008,8,aus,9,0
2008,8,aus,a,0
2008,9,aus,0,1439
2008,9,aus,1,206
2008,9,aus,2,136
2008,9,aus,3,90
2008,9,aus,4,10
2008,9,aus,5,0
2008,9,aus,6,0
2008,9,aus,7,0
2008,9,aus,8,0
2008,9,aus,9,0
2008,9,aus,a,0
2008,10,aus,0,1992
2008,10,aus,1,324
2008,10,aus,2,100
2008,10,aus,3,17
2008,10,aus,4,10
2008,10,aus,5,16
2008,10,aus,6,30
2008,10,aus,7,0
2008,10,aus,8,0
2008,10,aus,9,0
2008,10,aus,a,0
2008,11,aus,0,1995
2008,11,aus,1,276
2008,11,aus,2,62
2008,11,aus,3,8
2008,11,aus,4,22
2008,11,aus,5,34
2008,11,aus,6,0
2008,11,aus,7,0
2008,11,aus,8,0
2008,11,aus,9,0
2008,11,aus,a,0
2008,12,aus,0,2314
2008,12,aus,1,380
2008,12,aus,2,122
2008,12,aus,3,32
2008,12,aus,4,48
2008,12,aus,5,20
2008,12,aus,6,58
2008,12,aus,7,0
2008,12,aus,8,0
2008,12,aus,9,0
2008,12,aus,a,0
2009,1,aus,0,2398
2009,1,aus,1,227
2009,1,aus,2,66
2009,1,aus,3,15
2009,1,aus,4,10
2009,1,aus,5,16
2009,1,aus,6,0
2009,1,aus,7,0
2009,1,aus,8,0
2009,1,aus,9,0
2009,1,aus,a,0
2009,2,aus,0,3292
2009,2,aus,1,302
2009,2,aus,2,94
2009,2,aus,3,23
2009,2,aus,4,0
2009,2,aus,5,43
2009,2,aus,6,0
2009,2,aus,7,0
2009,2,aus,8,0
2009,2,aus,9,0
2009,2,aus,a,0
2009,3,aus,0,3985
2009,3,aus,1,381
2009,3,aus,2,114
2009,3,aus,3,9
