year,month,state,capacity
2001,4,aus,
2001,5,aus,12.0
2001,6,aus,33.0
2001,7,aus,73.0
2001,8,aus,17.0
2001,9,aus,24.0
2001,10,aus,17.0
2001,11,aus,36.0
2001,12,aus,22.0
2002,1,aus,27.0
2002,2,aus,28.0
2002,3,aus,23.0
2002,4,aus,17.0
2002,5,aus,30.0
2002,6,aus,16.0
2002,7,aus,26.0
2002,8,aus,28.0
2002,9,aus,61.0
2002,10,aus,31.0
2002,11,aus,289.0
2002,12,aus,3044.0
2003,1,aus,1119.0
2003,2,aus,110.0
2003,3,aus,62.0
2003,4,aus,26.0
2003,5,aus,20.0
2003,6,aus,65.0
2003,7,aus,95.0
2003,8,aus,109.0
2003,9,aus,99.0
2003,10,aus,130.0
2003,11,aus,129.0
2003,12,aus,103.0
2004,1,aus,58.0
2004,2,aus,107.0
2004,3,aus,97.0
2004,4,aus,120.0
2004,5,aus,114.0
2004,6,aus,102.0
2004,7,aus,91.0
2004,8,aus,122.0
2004,9,aus,86.0
2004,10,aus,152.0
2004,11,aus,131.0
2004,12,aus,135.0
2005,1,aus,138.0
2005,2,aus,120.0
2005,3,aus,113.0
2005,4,aus,606.0
2005,5,aus,166.0
2005,6,aus,135.0
2005,7,aus,153.0
2005,8,aus,157.0
2005,9,aus,130.0
2005,10,aus,185.0
2005,11,aus,203.0
2005,12,aus,457.0
2006,1,aus,98.0
2006,2,aus,79.0
2006,3,aus,158.0
2006,4,aus,417.0
2006,5,aus,151.0
2006,6,aus,138.0
2006,7,aus,25688.0
2006,8,aus,136.0
2006,9,aus,138.0
2006,10,aus,191.0
2006,11,aus,239.0
2006,12,aus,218.0
2007,1,aus,162.0
2007,2,aus,182.0
2007,3,aus,226.0
2007,4,aus,209.0
2007,5,aus,170.0
2007,6,aus,300.0
2007,7,aus,454.0
2007,8,aus,564.0
2007,9,aus,673.0
2007,10,aus,916.0
2007,11,aus,842.0
2007,12,aus,989.0
2008,1,aus,885.0
2008,2,aus,950.0
2008,3,aus,973.0
2008,4,aus,1338.0
2008,5,aus,1493.0
2008,6,aus,1330.0
2008,7,aus,1639.0
2008,8,aus,1616.0
2008,9,aus,1898.0
2008,10,aus,2500.0
2008,11,aus,2413.0
2008,12,aus,3009.0
2009,1,aus,2767.0
2009,2,aus,3788.0
2009,3,aus,4659.0
2009,4,aus,4500.0
2009,5,aus,5322.0
2009,6,aus,5812.0
2009,7,aus,6532.0
2009,8,aus,7370.0
2009,9,aus,8639.0
2009,10,aus,11706.0
2009,11,aus,13085.0
2009,12,aus,12253.0
2010,1,aus,13087.0
2010,2,aus,15756.0
2010,3,aus,21752.0
2010,4,aus,22833.0
2010,5,aus,29138.0
2010,6,aus,34019.0
2010,7,aus,34569.0
2010,8,aus,37272.0
2010,9,aus,41380.0
2010,10,aus,45747.0
2010,11,aus,54784.0
2010,12,aus,41028.0
2011,1,aus,58108.0
2011,2,aus,64581.0
2011,3,aus,80219.0
2011,4,aus,75995.0
2011,5,aus,116562.0
2011,6,aus,167346.0
2011,7,aus,54105.0
2011,8,aus,56596.0
2011,9,aus,68437.0
2011,10,aus,43924.0
2011,11,aus,48400.0
2011,12,aus,40018.0
2012,1,aus,34520.0
2012,2,aus,53030.0
2012,3,aus,62530.0
2012,4,aus,71373.0
2012,5,aus,122279.0
2012,6,aus,179274.0
2012,7,aus,78792.0
2012,8,aus,98253.0
2012,9,aus,95706.0
2012,10,aus,73279.0
2012,11,aus,74256.0
2012,12,aus,106577.0
2013,1,aus,51678.0
2013,2,aus,55891.0
2013,3,aus,60655.0
2013,4,aus,63010.0
2013,5,aus,79177.0
2013,6,aus,91484.0
2013,7,aus,64657.0
2013,8,aus,60382.0
2013,9,aus,62514.0
2013,10,aus,73103.0
2013,11,aus,84647.0
2013,12,aus,64191.0
2014,1,aus,61243.0
2014,2,aus,58244.0
2014,3,aus,62357.0
2014,4,aus,61474.0
2014,5,aus,93460.0
2014,6,aus,64739.0
2014,7,aus,73070.0
2014,8,aus,66843.0
2014,9,aus,72823.0
2014,10,aus,75504.0
2014,11,aus,66905.0
2014,12,aus,65635.0
2015,1,aus,53372.0
2015,2,aus,61504.0
2015,3,aus,165458.0
2015,4,aus,53535.0
2015,5,aus,59566.0
2015,6,aus,60111.0
2015,7,aus,119358.0
2015,8,aus,62900.0
2015,9,aus,62184.0
2015,10,aus,61981.0
2015,11,aus,63371.0
2015,12,aus,59770.0
2016,1,aus,42462.0
2016,2,aus,113574.0
2016,3,aus,57055.0
2016,4,aus,68194.0
2016,5,aus,59544.0
2016,6,aus,63690.0
2016,7,aus,58144.0
2016,8,aus,66095.0
2016,9,aus,68804.0
2016,10,aus,66077.0
2016,11,aus,78626.0
2016,12,aus,123916.0
2017,1,aus,56391.0
2017,2,aus,72996.0
2017,3,aus,110476.0
2017,4,aus,70337.0
2017,5,aus,97838.0
2017,6,aus,96722.0
2017,7,aus,109938.0
2017,8,aus,101941.0
2017,9,aus,99106.0
2017,10,aus,110212.0
2017,11,aus,153036.0
2017,12,aus,285660.0
2018,1,aus,149147.0
2018,2,aus,121329.0
2018,3,aus,483236.0
2018,4,aus,136462.0
2018,5,aus,374164.0
2018,6,aus,139628.0
2018,7,aus,522581.0
2018,8,aus,360722.0
2018,9,aus,828329.0
2018,10,aus,301591.0
2018,11,aus,401944.0
2018,12,aus,282151.0
2019,1,aus,273648.0
2019,2,aus,441764.0
2019,3,aus,184312.0
2019,4,aus,347660.0
2019,5,aus,441881.0
2019,6,aus,264391.0
2019,7,aus,203478.0
2019,8,aus,444142.0
